name,online_order,book_table,rating,votes,location,rest_type,dish_liked,cuisines,cost,service_type,cuisine_count,price_range
McDonald's,Yes,No,3.2,159,Indiranagar,Casual Dining,Pizza,"South Indian, Continental, Mexican",600.0,Buffet,3,Moderate
Resto_184,Yes,Yes,3.8,2651,Whitefield,Bakery,Burgers,"Beverages, Desserts, North Indian, Fast Food",1000.0,Pubs and bars,4,Moderate
Onesta,Yes,No,2.9,2942,Jp Nagar,Fine Dining,Burgers,"Mexican, South Indian, Thai",2500.0,Cafes,3,Very Expensive
Onesta,Yes,No,3.1,2925,Koramangala,Pub,Burgers,"Beverages, South Indian, Chinese, Mexican, Italian",600.0,Dine-out,5,Moderate
Nandhana Palace,No,No,2.5,1785,Jp Nagar,Bar,Pizza,"South Indian, Italian, Continental, Chinese, Beverages",2500.0,Drinks & nightlife,5,Very Expensive
Leon Grill,Yes,Yes,2.2,1276,Mg Road,Pub,Dosa,"Continental, Beverages, South Indian",600.0,Drinks & nightlife,3,Moderate
Resto_287,Yes,Yes,2.7,2287,Jp Nagar,Bar,Salad,"Italian, North Indian, Mexican, South Indian",600.0,Pubs and bars,4,Moderate
Resto_457,No,No,3.1,2215,Koramangala,Fine Dining,Pizza,"Continental, Chinese, South Indian, Thai",200.0,Pubs and bars,4,Cheap
Resto_409,Yes,No,2.4,113,Nan,Bar,Burgers,"Desserts, Fast Food, Mexican",1500.0,Dine-out,3,Expensive
McDonald's,Yes,Yes,4.5,2744,Jp Nagar,Fine Dining,Burgers,"Italian, Beverages, Fast Food, Desserts",1200.0,Cafes,4,Expensive
McDonald's,No,Yes,4.4,141,Whitefield,Quick Service Restaurant,Pasta,"Fast Food, North Indian, Beverages, Thai, Mexican",600.0,Dine-out,5,Moderate
Leon Grill,No,No,4.5,1575,Indiranagar,Bakery,Sushi,"Chinese, Italian",400.0,Delivery,2,Cheap
Leon Grill,No,No,4.5,2049,Hsr Layout,Bar,Salad,"Thai, Beverages",600.0,Delivery,2,Moderate
Nandhana Palace,No,Yes,4.5,1563,Whitefield,Bakery,Steak,South Indian,600.0,Buffet,1,Moderate
Resto_682,Yes,Yes,4.3,173,Jayanagar,Quick Service Restaurant,Steak,"North Indian, Italian, Beverages",200.0,Pubs and bars,3,Cheap
Resto_401,Yes,No,4.0,2343,Marathahalli,Bakery,Sushi,"South Indian, Beverages, North Indian, Italian, Fast Food",2000.0,Drinks & nightlife,5,Expensive
Nandhana Palace,No,Yes,4.0,1624,Hsr Layout,Pub,Dosa,"Continental, Mexican, Desserts",2500.0,Drinks & nightlife,3,Very Expensive
KFC,Yes,No,2.5,1574,Mg Road,Cafe,Steak,"North Indian, Italian, Mexican, Continental",600.0,Buffet,4,Moderate
Resto_836,No,No,2.4,69,Indiranagar,Casual Dining,Biryani,"Beverages, Desserts, Thai",600.0,Pubs and bars,3,Moderate
Resto_344,Yes,Yes,4.1,2699,Marathahalli,Quick Service Restaurant,Biryani,"Continental, Italian",2000.0,Drinks & nightlife,2,Expensive
Onesta,No,Yes,2.1,883,Jayanagar,Pub,Burgers,"Beverages, Mexican, Chinese, Fast Food, South Indian",800.0,Cafes,5,Moderate
Nandhana Palace,No,No,4.4,666,Jp Nagar,Quick Service Restaurant,Burgers,"Continental, Chinese",3000.0,Dine-out,2,Very Expensive
Empire Restaurant,Yes,No,2.7,2807,Whitefield,Bar,Dosa,"Mexican, Thai, Chinese, Beverages",800.0,Pubs and bars,4,Moderate
Nandhana Palace,Yes,No,4.2,1849,Marathahalli,Casual Dining,Steak,"Fast Food, South Indian",3000.0,Delivery,2,Very Expensive
KFC,Yes,Yes,4.9,1380,Hsr Layout,Fine Dining,Pasta,Italian,400.0,Delivery,1,Cheap
Nandhana Palace,No,Yes,4.3,1063,Marathahalli,Cafe,Pizza,"South Indian, Fast Food",3000.0,Pubs and bars,2,Very Expensive
Resto_438,No,Yes,2.3,2920,Mg Road,Bakery,Salad,"Fast Food, Beverages, Continental, North Indian",2000.0,Dine-out,4,Expensive
Resto_765,No,No,3.3,1076,Marathahalli,Casual Dining,Salad,"Beverages, Thai, Fast Food",600.0,Pubs and bars,3,Moderate
Resto_225,No,No,2.2,1819,Marathahalli,Casual Dining,Biryani,"Desserts, Thai, Chinese, Italian",200.0,Buffet,4,Cheap
Resto_97,Yes,Yes,4.8,1523,Marathahalli,Bar,Sushi,Fast Food,600.0,Pubs and bars,1,Moderate
Pizza Hut,No,Yes,3.2,1139,Hsr Layout,Bar,Pizza,"Continental, North Indian, Mexican, Beverages",2000.0,Pubs and bars,4,Expensive
Leon Grill,Yes,Yes,2.5,1085,Jp Nagar,Pub,Burgers,"Italian, Continental",1000.0,Pubs and bars,2,Moderate
Resto_852,No,No,3.6,2786,Jayanagar,Casual Dining,Pasta,"Beverages, South Indian, Thai",2500.0,Dine-out,3,Very Expensive
Nandhana Palace,No,No,4.6,1956,Whitefield,Cafe,Pizza,"Continental, Italian",2500.0,Delivery,2,Very Expensive
Burger King,No,No,3.6,2142,Jp Nagar,Casual Dining,Steak,"Desserts, Mexican",1200.0,Cafes,2,Expensive
Resto_830,No,Yes,4.8,258,Koramangala,Bakery,Salad,"Mexican, Italian, Beverages",1200.0,Drinks & nightlife,3,Expensive
Leon Grill,Yes,No,3.2,1569,Hsr Layout,Fine Dining,Biryani,"South Indian, Italian, Thai, North Indian",1000.0,Dine-out,4,Moderate
Burger King,No,Yes,4.5,1673,Marathahalli,Bakery,Burgers,"Mexican, Fast Food",200.0,Pubs and bars,2,Cheap
Resto_311,Yes,No,2.6,2749,Hsr Layout,Bar,Sushi,"Chinese, South Indian",2000.0,Cafes,2,Expensive
Resto_373,No,No,3.5,502,Marathahalli,Fine Dining,Pizza,"Beverages, Continental, Desserts, Fast Food, South Indian",400.0,Delivery,5,Cheap
Resto_134,Yes,No,2.7,2255,Jp Nagar,Quick Service Restaurant,Pasta,"Desserts, Fast Food, South Indian, Thai",1200.0,Buffet,4,Expensive
Pizza Hut,No,No,2.5,210,Whitefield,Bar,Pasta,"Chinese, Fast Food, Mexican, Italian",400.0,Dine-out,4,Cheap
Burger King,Yes,Yes,3.9,1532,Whitefield,Quick Service Restaurant,Sushi,Desserts,400.0,Drinks & nightlife,1,Cheap
Empire Restaurant,Yes,No,4.7,603,Whitefield,Cafe,Burgers,"Fast Food, South Indian, North Indian, Desserts, Mexican",1500.0,Cafes,5,Expensive
McDonald's,No,No,2.2,1769,Whitefield,Casual Dining,Dosa,"Thai, Beverages, South Indian, Chinese",400.0,Buffet,4,Cheap
Nandhana Palace,Yes,No,3.1,1598,Mg Road,Pub,Salad,"Italian, South Indian, North Indian",600.0,Buffet,3,Moderate
Resto_243,Yes,No,4.7,2987,Jp Nagar,Casual Dining,Dosa,"Beverages, South Indian, Chinese, North Indian, Mexican",3000.0,Dine-out,5,Very Expensive
Resto_709,No,Yes,3.6,571,Jayanagar,Fine Dining,Steak,"North Indian, Chinese, Continental",600.0,Dine-out,3,Moderate
Resto_32,No,Yes,3.5,1613,Koramangala,Casual Dining,Salad,"South Indian, Desserts, Fast Food, North Indian",1000.0,Drinks & nightlife,4,Moderate
Resto_804,Yes,No,2.4,1300,Koramangala,Casual Dining,Sushi,Mexican,2500.0,Drinks & nightlife,1,Very Expensive
Onesta,No,Yes,4.1,1311,Hsr Layout,Quick Service Restaurant,Dosa,"Mexican, North Indian, Italian",600.0,Dine-out,3,Moderate
Burger King,No,Yes,4.5,2728,Jp Nagar,Cafe,Pizza,"Desserts, South Indian",600.0,Dine-out,2,Moderate
Pizza Hut,No,No,3.8,564,Whitefield,Casual Dining,Salad,"Continental, Thai, Mexican",1500.0,Pubs and bars,3,Expensive
Burger King,Yes,Yes,3.6,377,Marathahalli,Fine Dining,Biryani,"Mexican, North Indian, South Indian, Continental",3000.0,Cafes,4,Very Expensive
Resto_681,Yes,Yes,2.6,643,Mg Road,Bar,Burgers,"Continental, South Indian",1200.0,Delivery,2,Expensive
Resto_186,No,No,4.9,653,Indiranagar,Cafe,Steak,"Continental, Beverages",200.0,Drinks & nightlife,2,Cheap
Resto_947,No,Yes,2.4,1103,Hsr Layout,Quick Service Restaurant,Biryani,"North Indian, Thai, Continental",600.0,Buffet,3,Moderate
Resto_180,No,No,3.6,850,Marathahalli,Quick Service Restaurant,Burgers,"Continental, Chinese, Beverages, Desserts",1000.0,Drinks & nightlife,4,Moderate
Onesta,No,No,3.7,2968,Mg Road,Casual Dining,Dosa,"Italian, Mexican, Thai, Continental, South Indian",600.0,Buffet,5,Moderate
Resto_399,No,Yes,3.8,313,Marathahalli,Bar,Biryani,"Italian, Continental, Desserts, Fast Food",2500.0,Delivery,4,Very Expensive
Nandhana Palace,No,Yes,3.6,2079,Koramangala,Bakery,Sushi,"North Indian, Mexican, Thai, South Indian",200.0,Dine-out,4,Cheap
Resto_533,Yes,Yes,3.9,2087,Hsr Layout,Casual Dining,Steak,"Fast Food, Desserts, Continental, Thai, Mexican",400.0,Cafes,5,Cheap
Resto_809,Yes,Yes,4.1,2534,Jp Nagar,Bakery,Dosa,"Mexican, Thai, Continental, Chinese, Italian",600.0,Buffet,5,Moderate
Resto_271,Yes,Yes,4.0,409,Whitefield,Bar,Salad,"Beverages, Mexican",1500.0,Delivery,2,Expensive
McDonald's,Yes,Yes,4.1,2641,Hsr Layout,Bakery,Pizza,"Fast Food, North Indian, Desserts",3000.0,Dine-out,3,Very Expensive
Leon Grill,No,No,3.3,1536,Marathahalli,Casual Dining,Biryani,"South Indian, Desserts, Italian",600.0,Buffet,3,Moderate
Empire Restaurant,No,No,4.3,725,Jayanagar,Fine Dining,Steak,"Chinese, Mexican",3000.0,Cafes,2,Very Expensive
Resto_514,No,No,4.2,1427,Marathahalli,Fine Dining,Sushi,"North Indian, Mexican, Beverages",800.0,Pubs and bars,3,Moderate
Resto_588,No,Yes,4.9,1991,Hsr Layout,Fine Dining,Pasta,"Chinese, Continental, Desserts, North Indian",2500.0,Pubs and bars,4,Very Expensive
Empire Restaurant,Yes,Yes,4.3,2734,Jp Nagar,Bar,Salad,"Fast Food, Beverages, Mexican, Desserts",2500.0,Cafes,4,Very Expensive
Pizza Hut,No,No,2.1,1122,Marathahalli,Cafe,Steak,Continental,3000.0,Delivery,1,Very Expensive
Resto_181,Yes,No,2.1,1224,Whitefield,Bar,Pizza,"North Indian, Mexican",2000.0,Cafes,2,Expensive
Pizza Hut,Yes,No,3.3,167,Hsr Layout,Pub,Burgers,"Continental, North Indian",2000.0,Dine-out,2,Expensive
McDonald's,Yes,No,3.9,1228,Marathahalli,Quick Service Restaurant,Pizza,North Indian,2000.0,Buffet,1,Expensive
Resto_316,Yes,No,3.9,614,Jayanagar,Bar,Dosa,"South Indian, North Indian",1500.0,Pubs and bars,2,Expensive
Leon Grill,No,Yes,3.5,1441,Whitefield,Casual Dining,Sushi,"Chinese, Thai, Mexican, Fast Food, Desserts",1500.0,Delivery,5,Expensive
Resto_598,No,Yes,3.1,2524,Mg Road,Bar,Pasta,Fast Food,1500.0,Cafes,1,Expensive
Empire Restaurant,Yes,No,4.0,948,Koramangala,Quick Service Restaurant,Sushi,"Chinese, Thai, Desserts",2000.0,Pubs and bars,3,Expensive
Resto_623,No,Yes,2.7,448,Koramangala,Bar,Pasta,Fast Food,1000.0,Dine-out,1,Moderate
Leon Grill,Yes,Yes,3.6,1886,Jp Nagar,Cafe,Biryani,"Italian, Desserts, Beverages",600.0,Buffet,3,Moderate
Resto_869,No,No,4.9,1398,Whitefield,Bar,Salad,"Fast Food, Thai, Continental, Mexican, Italian",2500.0,Drinks & nightlife,5,Very Expensive
Pizza Hut,Yes,Yes,2.3,1256,Mg Road,Fine Dining,Dosa,"North Indian, Thai",600.0,Cafes,2,Moderate
Burger King,Yes,Yes,3.5,987,Hsr Layout,Pub,Salad,"Continental, Thai, Fast Food, Mexican, Italian",400.0,Buffet,5,Cheap
Empire Restaurant,No,No,4.1,856,Koramangala,Cafe,Pizza,"Chinese, Continental, Desserts, Fast Food",2500.0,Buffet,4,Very Expensive
Burger King,Yes,No,4.6,2200,Indiranagar,Fine Dining,Biryani,"Beverages, North Indian, Desserts, Italian, Thai",200.0,Drinks & nightlife,5,Cheap
McDonald's,Yes,No,3.1,1646,Koramangala,Cafe,Dosa,"Fast Food, Italian",3000.0,Dine-out,2,Very Expensive
Nandhana Palace,Yes,No,3.6,2876,Mg Road,Bar,Steak,"Italian, Continental, Thai, Chinese, Fast Food",800.0,Cafes,5,Moderate
Resto_501,Yes,No,4.4,2141,Indiranagar,Bakery,Burgers,"Desserts, North Indian, Beverages",200.0,Drinks & nightlife,3,Cheap
Leon Grill,Yes,No,2.4,321,Mg Road,Fine Dining,Biryani,Chinese,200.0,Dine-out,1,Cheap
McDonald's,Yes,No,2.8,2229,Jayanagar,Bakery,Sushi,"Thai, Chinese, Continental, Italian",800.0,Cafes,4,Moderate
Onesta,No,No,4.2,1810,Jayanagar,Casual Dining,Salad,"Desserts, North Indian, Thai, Mexican, South Indian",1500.0,Drinks & nightlife,5,Expensive
McDonald's,No,Yes,4.8,1259,Indiranagar,Quick Service Restaurant,Pasta,"Thai, Desserts, Beverages, South Indian, Fast Food",600.0,Dine-out,5,Moderate
KFC,No,No,2.2,1675,Marathahalli,Cafe,Salad,"Italian, Continental, South Indian",1500.0,Buffet,3,Expensive
Resto_325,No,Yes,4.0,1448,Indiranagar,Cafe,Pasta,"North Indian, Thai, Mexican",2500.0,Buffet,3,Very Expensive
McDonald's,Yes,Yes,3.3,167,Jp Nagar,Quick Service Restaurant,Pasta,"Beverages, Chinese",2500.0,Drinks & nightlife,2,Very Expensive
Pizza Hut,Yes,No,4.8,1550,Indiranagar,Pub,Dosa,"Fast Food, Thai, Italian",400.0,Delivery,3,Cheap
Burger King,No,Yes,3.0,1919,Whitefield,Quick Service Restaurant,Sushi,"Beverages, Italian, Continental, Thai",400.0,Delivery,4,Cheap
Pizza Hut,Yes,Yes,3.3,826,Whitefield,Cafe,Pasta,Fast Food,2500.0,Pubs and bars,1,Very Expensive
Resto_698,No,No,4.8,124,Marathahalli,Pub,Sushi,"Desserts, South Indian, Fast Food, Thai",2500.0,Delivery,4,Very Expensive
Leon Grill,No,Yes,3.3,695,Whitefield,Cafe,Pizza,Continental,3000.0,Dine-out,1,Very Expensive
Resto_462,No,No,2.2,118,Mg Road,Fine Dining,Burgers,"North Indian, Continental",2500.0,Buffet,2,Very Expensive
Resto_673,Yes,Yes,3.3,1077,Indiranagar,Bar,Pizza,"Continental, Chinese",1200.0,Drinks & nightlife,2,Expensive
Nandhana Palace,No,No,2.1,1052,Indiranagar,Bar,Biryani,"Chinese, Italian, Continental, South Indian",3000.0,Drinks & nightlife,4,Very Expensive
Resto_309,Yes,Yes,4.6,1695,Mg Road,Quick Service Restaurant,Burgers,"Continental, South Indian, Italian, North Indian",600.0,Buffet,4,Moderate
Resto_574,Yes,Yes,3.4,547,Indiranagar,Casual Dining,Burgers,"Thai, South Indian, Continental",2000.0,Dine-out,3,Expensive
Leon Grill,No,No,4.4,652,Koramangala,Pub,Dosa,"Thai, Mexican, Desserts, South Indian",1500.0,Drinks & nightlife,4,Expensive
Empire Restaurant,No,Yes,3.0,2016,Mg Road,Bakery,Biryani,"North Indian, Beverages, Chinese, Fast Food",600.0,Dine-out,4,Moderate
Resto_697,Yes,Yes,3.0,1510,Whitefield,Pub,Salad,Fast Food,1000.0,Cafes,1,Moderate
KFC,Yes,No,3.7,1597,Hsr Layout,Bakery,Salad,"South Indian, Chinese",600.0,Cafes,2,Moderate
KFC,Yes,No,4.4,780,Jp Nagar,Casual Dining,Salad,"North Indian, Chinese, Desserts, Italian",3000.0,Delivery,4,Very Expensive
Resto_773,No,No,4.5,2832,Marathahalli,Bar,Burgers,"Italian, Beverages, Chinese",400.0,Pubs and bars,3,Cheap
McDonald's,No,Yes,2.8,353,Marathahalli,Cafe,Salad,"Italian, South Indian",3000.0,Drinks & nightlife,2,Very Expensive
Pizza Hut,Yes,Yes,3.9,2373,Indiranagar,Casual Dining,Pizza,"Fast Food, Chinese, Beverages, Desserts",1000.0,Delivery,4,Moderate
Leon Grill,Yes,No,4.0,1857,Indiranagar,Cafe,Steak,"Mexican, South Indian, Chinese, North Indian",800.0,Dine-out,4,Moderate
Resto_145,No,No,2.5,1130,Mg Road,Quick Service Restaurant,Salad,"Chinese, Thai, Continental, Fast Food",2000.0,Delivery,4,Expensive
Burger King,No,Yes,2.2,1008,Jp Nagar,Cafe,Salad,"Desserts, Italian",1500.0,Pubs and bars,2,Expensive
Nandhana Palace,No,Yes,4.5,380,Jp Nagar,Quick Service Restaurant,Pizza,South Indian,400.0,Cafes,1,Cheap
Resto_723,No,No,4.5,2043,Nan,Pub,Salad,"Mexican, Continental",1500.0,Buffet,2,Expensive
Nandhana Palace,No,No,3.7,2942,Mg Road,Bakery,Pasta,"Italian, South Indian, North Indian, Mexican",400.0,Pubs and bars,4,Cheap
Leon Grill,Yes,No,2.3,1737,Marathahalli,Cafe,Dosa,"Desserts, South Indian, Mexican, Italian, North Indian",1000.0,Buffet,5,Moderate
Nandhana Palace,Yes,Yes,2.2,2917,Marathahalli,Bar,Sushi,"Beverages, Italian, Continental, Chinese",200.0,Drinks & nightlife,4,Cheap
Resto_297,No,No,4.4,2824,Indiranagar,Pub,Sushi,"North Indian, Mexican, Chinese",200.0,Cafes,3,Cheap
Burger King,No,Yes,2.8,166,Indiranagar,Bar,Steak,"Chinese, Italian, Fast Food",400.0,Dine-out,3,Cheap
Onesta,Yes,Yes,2.0,1478,Jayanagar,Cafe,Steak,"Beverages, Fast Food, Thai, Italian, Chinese",600.0,Delivery,5,Moderate
Leon Grill,No,Yes,2.6,1257,Mg Road,Bar,Biryani,"Thai, Continental, Beverages",2000.0,Pubs and bars,3,Expensive
Leon Grill,No,No,4.9,1442,Hsr Layout,Fine Dining,Dosa,North Indian,800.0,Dine-out,1,Moderate
Resto_93,Yes,Yes,2.9,1270,Mg Road,Bar,Sushi,"Desserts, Continental, North Indian, Mexican, Thai",800.0,Drinks & nightlife,5,Moderate
McDonald's,No,Yes,4.4,27,Jp Nagar,Casual Dining,Dosa,Thai,200.0,Cafes,1,Cheap
Nandhana Palace,No,Yes,4.7,838,Indiranagar,Fine Dining,Burgers,Desserts,600.0,Cafes,1,Moderate
KFC,Yes,Yes,4.1,93,Jp Nagar,Pub,Steak,"South Indian, Desserts",400.0,Buffet,2,Cheap
Resto_23,No,Yes,4.9,156,Indiranagar,Pub,Dosa,"Thai, Fast Food, Mexican, Continental",2500.0,Delivery,4,Very Expensive
Leon Grill,No,Yes,2.6,568,Nan,Bar,Pizza,"North Indian, Thai, Beverages, Italian",2500.0,Drinks & nightlife,4,Very Expensive
Resto_693,Yes,No,3.6,518,Mg Road,Quick Service Restaurant,Pizza,"Fast Food, Continental, Desserts, Chinese, Mexican",200.0,Buffet,5,Cheap
Resto_871,No,Yes,3.5,1685,Whitefield,Quick Service Restaurant,Sushi,"Mexican, Italian, South Indian, Fast Food, Thai",1000.0,Dine-out,5,Moderate
Resto_749,Yes,No,3.0,1826,Hsr Layout,Cafe,Dosa,"Desserts, Italian, Fast Food",1200.0,Buffet,3,Expensive
Resto_393,Yes,No,4.2,17,Indiranagar,Cafe,Steak,"Desserts, Thai, South Indian, Italian, Beverages",400.0,Cafes,5,Cheap
Resto_621,No,No,4.3,1423,Whitefield,Fine Dining,Burgers,"Continental, North Indian, Chinese, Desserts, Fast Food",3000.0,Dine-out,5,Very Expensive
Empire Restaurant,No,No,3.8,2432,Koramangala,Fine Dining,Salad,North Indian,200.0,Cafes,1,Cheap
Resto_217,No,No,2.6,2808,Koramangala,Quick Service Restaurant,Pizza,"Chinese, Beverages, Continental, Desserts",3000.0,Buffet,4,Very Expensive
KFC,Yes,No,3.0,2230,Marathahalli,Quick Service Restaurant,Biryani,"Beverages, Thai, Mexican, South Indian, Chinese",200.0,Drinks & nightlife,5,Cheap
Pizza Hut,Yes,Yes,4.2,2586,Jp Nagar,Fine Dining,Burgers,"Fast Food, Thai, Beverages",200.0,Dine-out,3,Cheap
Resto_55,Yes,Yes,4.7,931,Indiranagar,Bakery,Biryani,Chinese,2000.0,Delivery,1,Expensive
Pizza Hut,No,No,2.9,68,Jp Nagar,Quick Service Restaurant,Salad,Mexican,3000.0,Drinks & nightlife,1,Very Expensive
Resto_197,No,Yes,4.0,396,Indiranagar,Fine Dining,Steak,"Beverages, Mexican, Italian",2500.0,Buffet,3,Very Expensive
Resto_176,No,Yes,2.8,1244,Hsr Layout,Bakery,Pasta,"Fast Food, Desserts, Italian",2500.0,Delivery,3,Very Expensive
Resto_306,No,No,2.9,2053,Whitefield,Bar,Dosa,Continental,1500.0,Dine-out,1,Expensive
Nandhana Palace,Yes,Yes,3.1,2401,Koramangala,Quick Service Restaurant,Burgers,"South Indian, Desserts",400.0,Dine-out,2,Cheap
Leon Grill,No,Yes,3.2,1676,Marathahalli,Bar,Sushi,"Thai, North Indian, Desserts, Chinese, Beverages",2500.0,Drinks & nightlife,5,Very Expensive
Resto_99,No,Yes,4.8,1309,Jp Nagar,Fine Dining,Pasta,Beverages,2500.0,Pubs and bars,1,Very Expensive
Burger King,No,Yes,4.4,6,Indiranagar,Casual Dining,Pasta,"Beverages, Mexican, Continental, Thai",1500.0,Pubs and bars,4,Expensive
Resto_410,Yes,No,2.8,2255,Jayanagar,Fine Dining,Sushi,Desserts,200.0,Buffet,1,Cheap
Pizza Hut,No,No,4.4,2913,Indiranagar,Bar,Salad,South Indian,600.0,Pubs and bars,1,Moderate
Nandhana Palace,Yes,Yes,2.2,1170,Marathahalli,Bar,Salad,Mexican,2500.0,Cafes,1,Very Expensive
Resto_920,No,No,2.4,2360,Hsr Layout,Pub,Dosa,Italian,200.0,Buffet,1,Cheap
Pizza Hut,No,Yes,3.6,1550,Indiranagar,Casual Dining,Steak,"Italian, Fast Food, Chinese, Continental",1000.0,Buffet,4,Moderate
Resto_156,No,Yes,2.6,1572,Marathahalli,Bakery,Dosa,"Mexican, Desserts, Beverages, Chinese",400.0,Delivery,4,Cheap
Resto_950,Yes,Yes,3.8,1208,Jayanagar,Pub,Sushi,"Continental, Mexican, Fast Food, Chinese, North Indian",800.0,Pubs and bars,5,Moderate
Resto_993,Yes,No,4.3,1515,Indiranagar,Cafe,Dosa,"Chinese, Beverages, Mexican, South Indian, Desserts",200.0,Cafes,5,Cheap
Resto_692,No,Yes,2.0,789,Whitefield,Quick Service Restaurant,Pizza,"Fast Food, Continental, Thai, Beverages",1500.0,Buffet,4,Expensive
Nandhana Palace,Yes,Yes,2.9,1485,Nan,Bar,Burgers,"Fast Food, Beverages, Thai, Chinese",1000.0,Dine-out,4,Moderate
Resto_424,No,Yes,2.9,523,Marathahalli,Bar,Sushi,"Thai, Mexican, Continental",1000.0,Cafes,3,Moderate
KFC,No,No,4.3,2928,Jayanagar,Fine Dining,Salad,"Beverages, Italian, Chinese, South Indian",2500.0,Delivery,4,Very Expensive
Nandhana Palace,No,No,3.5,763,Hsr Layout,Pub,Steak,"Beverages, North Indian, Fast Food, Chinese",2500.0,Pubs and bars,4,Very Expensive
McDonald's,Yes,Yes,4.2,1117,Marathahalli,Pub,Biryani,"Mexican, Chinese",800.0,Cafes,2,Moderate
Resto_208,No,Yes,4.2,232,Mg Road,Fine Dining,Steak,"South Indian, North Indian, Desserts",1000.0,Cafes,3,Moderate
Pizza Hut,No,Yes,3.4,1162,Whitefield,Quick Service Restaurant,Pizza,"Italian, Thai, Continental, Beverages, Desserts",2500.0,Dine-out,5,Very Expensive
Resto_564,Yes,No,2.8,2382,Mg Road,Cafe,Salad,"Italian, Mexican, Thai, Chinese",2000.0,Dine-out,4,Expensive
Nandhana Palace,No,No,3.0,2283,Whitefield,Quick Service Restaurant,Pasta,Mexican,400.0,Drinks & nightlife,1,Cheap
McDonald's,Yes,Yes,4.0,2936,Koramangala,Fine Dining,Pasta,"Beverages, South Indian",2500.0,Dine-out,2,Very Expensive
KFC,No,Yes,4.4,1782,Indiranagar,Fine Dining,Biryani,"North Indian, Desserts",1200.0,Dine-out,2,Expensive
McDonald's,Yes,No,2.2,2593,Indiranagar,Pub,Dosa,"Italian, Thai, Beverages, Desserts, Mexican",600.0,Dine-out,5,Moderate
Resto_747,No,Yes,3.8,1536,Koramangala,Casual Dining,Dosa,Thai,1000.0,Delivery,1,Moderate
Nandhana Palace,No,No,4.5,2198,Marathahalli,Cafe,Pizza,"North Indian, Continental, Desserts, Italian, South Indian",600.0,Cafes,5,Moderate
Onesta,No,No,2.1,2117,Indiranagar,Bakery,Pizza,"Mexican, Beverages, North Indian, Thai",2500.0,Dine-out,4,Very Expensive
Resto_536,Yes,Yes,3.5,1489,Jayanagar,Bakery,Dosa,Italian,1000.0,Pubs and bars,1,Moderate
McDonald's,No,Yes,4.7,975,Hsr Layout,Casual Dining,Burgers,"North Indian, Italian, Mexican, Thai, Continental",3000.0,Delivery,5,Very Expensive
McDonald's,No,No,2.5,2484,Indiranagar,Bar,Pizza,"South Indian, Beverages, Italian",1000.0,Delivery,3,Moderate
McDonald's,Yes,Yes,3.5,522,Whitefield,Casual Dining,Pizza,"Beverages, North Indian, Fast Food",2500.0,Drinks & nightlife,3,Very Expensive
Resto_506,No,No,4.2,2062,Koramangala,Cafe,Burgers,Fast Food,400.0,Buffet,1,Cheap
Nandhana Palace,Yes,Yes,2.5,720,Koramangala,Bar,Sushi,"Desserts, South Indian, Continental, North Indian",200.0,Drinks & nightlife,4,Cheap
Leon Grill,No,Yes,4.3,779,Indiranagar,Casual Dining,Biryani,"Thai, Mexican, Beverages, Italian",200.0,Cafes,4,Cheap
Onesta,Yes,No,4.5,1593,Jp Nagar,Cafe,Pizza,"Italian, North Indian, Mexican, Beverages, South Indian",800.0,Dine-out,5,Moderate
Resto_204,No,No,3.8,507,Koramangala,Cafe,Sushi,"Desserts, Fast Food, South Indian",2000.0,Dine-out,3,Expensive
KFC,No,Yes,4.2,2377,Koramangala,Bar,Pasta,"Desserts, South Indian, Beverages",2000.0,Dine-out,3,Expensive
McDonald's,Yes,No,3.7,718,Mg Road,Quick Service Restaurant,Pasta,"South Indian, Fast Food, North Indian",3000.0,Buffet,3,Very Expensive
KFC,No,Yes,4.8,2048,Indiranagar,Bar,Steak,"Thai, South Indian, Italian, Desserts, Fast Food",400.0,Buffet,5,Cheap
Pizza Hut,No,Yes,2.0,1456,Hsr Layout,Fine Dining,Steak,"South Indian, Continental, North Indian",2500.0,Pubs and bars,3,Very Expensive
KFC,Yes,Yes,3.1,1395,Hsr Layout,Bar,Salad,"Mexican, Fast Food, Thai, Continental, Desserts",800.0,Delivery,5,Moderate
Resto_743,No,Yes,4.7,861,Jayanagar,Quick Service Restaurant,Sushi,"Italian, Mexican",600.0,Buffet,2,Moderate
Resto_483,Yes,Yes,3.1,1532,Jp Nagar,Pub,Sushi,"Italian, North Indian, Fast Food, Mexican",2500.0,Dine-out,4,Very Expensive
Resto_365,No,Yes,2.6,1929,Marathahalli,Casual Dining,Burgers,"South Indian, Italian, Desserts, Chinese",1500.0,Pubs and bars,4,Expensive
Resto_910,Yes,Yes,4.4,978,Mg Road,Casual Dining,Dosa,"North Indian, Chinese, Continental, Desserts",2500.0,Buffet,4,Very Expensive
Empire Restaurant,Yes,No,4.0,39,Jp Nagar,Casual Dining,Pasta,"Continental, Chinese, Italian, Fast Food",800.0,Pubs and bars,4,Moderate
Resto_13,No,No,3.2,240,Jayanagar,Bakery,Dosa,Mexican,1000.0,Cafes,1,Moderate
Resto_891,Yes,No,2.5,414,Jayanagar,Fine Dining,Steak,"Continental, North Indian, Beverages, Fast Food, Chinese",2500.0,Drinks & nightlife,5,Very Expensive
